"SS.No","Type","gamma","lambda","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
1,3,0.01,1e-07,-0.0913123300147768,-0.0733156553167457,-0.00807048444063238,0.00596784262957682
2,3,0.01,1e-07,-0.0745917566484916,-0.084917645960308,0.00657673186482617,-0.00444917594064143
3,3,0.01,1e-07,-0.0793092715516872,-0.0786461729833212,-0.00298060299131131,0.00304476121307142
4,3,0.01,1e-07,-0.0862365477945481,-0.0788272157046303,-0.00821622264905318,-0.00281968073541807
5,3,0.01,1e-07,-0.0782293483450019,-0.0903843331438329,0.00793798871972225,-0.0128771223813429
6,3,0.01,1e-07,-0.0724814858443168,-0.0898152412889633,-0.00547038433918937,-0.0132657323330364
7,3,0.01,1e-07,-0.0875749196075553,-0.0745489540958359,-0.00195676742659631,-0.00884811204540805
8,3,0.01,1e-07,-0.0851506977825148,-0.0751113815854024,-0.00704337788072986,0.00156955662195908
9,3,0.01,1e-07,-0.0790856459890845,-0.082786506123164,0.00913322808249498,-0.00750772292353169
10,3,0.01,1e-07,-0.0719504854391483,-0.0861676293393396,0.0154820340065419,-0.0154510431115067
11,3,0.01,1e-07,-0.0802718340393083,-0.0810513485802303,-0.0140873680907674,0.00843788134865537
12,3,0.01,1e-07,-0.0801002437017154,-0.0819052269077822,-0.00448113117564907,-0.00615511536033011
13,3,0.01,1e-07,-0.0720611520022413,-0.0915935338948848,0.00392646465531564,-0.014805814349796
14,3,0.01,1e-07,-0.0714805310004903,-0.0926991640079419,0.00863258496747295,-0.00348223919168649
15,3,0.01,1e-07,-0.0800597737761952,-0.0828934389276567,0.00703169623974063,-0.0041975627085567
16,3,0.01,1e-07,-0.0836907302906357,-0.0858203634485453,-0.0103314001073766,-0.00476961395451732
17,3,0.01,1e-07,-0.082503649797538,-0.0827982395254867,-0.00872743138995384,-0.00381605343666747
18,3,0.01,1e-07,-0.0742245999919599,-0.0891384292850848,0.00831801147429851,-0.00946292732102077
19,3,0.01,1e-07,-0.0917650968882616,-0.0682925979929434,-0.0107878065234292,0.0102426527962128
20,3,0.01,1e-07,-0.0955019801086266,-0.0837332227976935,-0.00452981632463406,-0.0130510594918914
21,3,0.01,1e-07,-0.0697647700080823,-0.0969677335327864,0.00951509572879173,-0.0182575587749362
22,3,0.01,1e-07,-0.0857176273617185,-0.0798223581398183,-0.00794556375473319,0.0100619729981007
23,3,0.01,1e-07,-0.0894990195619021,-0.0729327095265163,0.00164210274487839,-0.00546107234950934
24,3,0.01,1e-07,-0.100130308829605,-0.0743830867851579,-0.00787225331534533,-0.000731961685117481
25,3,0.01,1e-07,-0.0891179019159988,-0.0743988609378718,-0.00483260436318529,-0.00681814768123265
26,3,0.01,1e-07,-0.0789445161351515,-0.0845166432701498,-0.00135185402816854,-0.00483197276415611
27,3,0.01,1e-07,-0.0842778556017538,-0.083887404854458,-0.0135803176128397,0.0128242914850213
28,3,0.01,1e-07,-0.075130466746536,-0.0890332883668561,0.00826214849464678,-0.00632178408599793
29,3,0.01,1e-07,-0.0800643338769595,-0.0842422285464104,-0.0108700987979843,0.00296749752344142
30,3,0.01,1e-07,-0.090416204281281,-0.0705181248279814,-0.0138065468988252,0.00352476519346569
31,3,0.01,1e-07,-0.0852820468719259,-0.0780218502787435,-0.00247253865874979,-0.00484814703369374
32,3,0.01,1e-07,-0.0890798121103704,-0.0746666874061169,-0.00645603445347281,-0.00127135932399762
33,3,0.01,1e-07,-0.0823912692809567,-0.0871353813470348,0.00495059630003373,-0.00328973814045338
34,3,0.01,1e-07,-0.0727166315458062,-0.0862640303356368,0.00288841431698557,-0.00965845002846765
35,3,0.01,1e-07,-0.0851619763286491,-0.0785569016493628,-0.00689683071746627,0.000614484296521478
36,3,0.01,1e-07,-0.0709610703637444,-0.0889982171371614,0.00181005848064926,-0.00911104200786282
37,3,0.01,1e-07,-0.0665044303455812,-0.0973322667900794,0.00590056155982705,-0.000620790539169655
38,3,0.01,1e-07,-0.0805149311293314,-0.091211897476263,-0.00521206253481918,-0.0163201437450427
39,3,0.01,1e-07,-0.0732593307631886,-0.100985864633492,0.013321398795606,-0.0299285754271859
40,3,0.01,1e-07,-0.0656283991277068,-0.102172742695288,-0.000467157833191903,-0.00481692667379679
41,3,0.01,1e-07,-0.0780915941167907,-0.0879514738633957,0.000910732699397734,-0.00242321385286477
42,3,0.01,1e-07,-0.101394663898402,-0.0737199827550387,-0.0249719163966507,0.0141232651527776
43,3,0.01,1e-07,-0.0931515046671848,-0.0706474391713159,0.0143936921837598,0.00603269225642185
44,3,0.01,1e-07,-0.0966201785785798,-0.0711330421797263,-0.0125833982085875,0.00474389040280742
45,3,0.01,1e-07,-0.0829814325814998,-0.07790237777576,0.00383752278323296,-0.00516088696293682
46,3,0.01,1e-07,-0.0837410478777561,-0.0767064915705545,-0.00282472047274623,-0.00579552384418802
47,3,0.01,1e-07,-0.0845383104344268,-0.0806179234261775,-0.00730320497274195,-0.00453758097679915
48,3,0.01,1e-07,-0.0747897507614724,-0.0868366577629215,0.005079764845067,-0.00213789777185928
49,3,0.01,1e-07,-0.0874003225846331,-0.0767000698433176,-0.013292091124413,0.00111581133312875
50,3,0.01,1e-07,-0.0853747158077055,-0.077502936999163,-0.00101249689290164,0.00489796444594419
51,3,0.01,1e-07,-0.0820711247347302,-0.0770800827676655,-0.00271843746656565,5.14488553477365e-05
52,3,0.01,1e-07,-0.0868401118127421,-0.0766050482081288,-0.0141191845197782,0.00660105024281075
53,3,0.01,1e-07,-0.0801805203666364,-0.0807790538158543,-0.00512416792045555,-0.000410570118084803
54,3,0.01,1e-07,-0.0887830202605615,-0.0767250515218687,-0.0066060381048546,0.00616858315074257
55,3,0.01,1e-07,-0.081353370189394,-0.0785182666974484,-0.00734007048675028,-0.00430689264320652
56,3,0.01,1e-07,-0.0754233098962288,-0.0848379723620692,-0.00213584478629375,-0.00735608639984924
57,3,0.01,1e-07,-0.0809765735545053,-0.0811289951675739,0.00563210660954091,-0.00999119178573787
58,3,0.01,1e-07,-0.0734321066084531,-0.08510221031134,0.00464412063895799,0.00219635754815762
59,3,0.01,1e-07,-0.0904997407218641,-0.0701282105569905,-0.00999006417592046,0.00417849646729237
60,3,0.01,1e-07,-0.0823141453787224,-0.0869876654742729,0.0017372097797834,-0.00558263575762868
61,3,0.01,1e-07,-0.0853973938582553,-0.0799690150880154,-0.00426306644857555,0.00325111596838023
62,3,0.01,1e-07,-0.0720812903843405,-0.102777351036449,0.00444672467124896,-0.0110385036849486
63,3,0.01,1e-07,-0.0811096801871743,-0.0798083781724835,-0.00931308927596709,0.0105193343043116
64,3,0.01,1e-07,-0.0895559370870346,-0.0721789474601066,-0.01735221071822,0.00320573743797844
65,3,0.01,1e-07,-0.0861025416485562,-0.0726508482844923,-0.0123528696165786,0.00157111379306787
66,3,0.01,1e-07,-0.0878468887962872,-0.0787338647893863,-0.017616395694906,0.00275108622269542
67,3,0.01,1e-07,-0.0918757799441981,-0.0736898954714495,-0.0168577657611783,0.000948216632349034
68,3,0.01,1e-07,-0.101071855815165,-0.0698726160460438,-0.00618544229547451,0.00798977288085378
69,3,0.01,1e-07,-0.0761317368352658,-0.0793369965937484,0.00144225839079259,-0.00154481275144971
70,3,0.01,1e-07,-0.0834152824990484,-0.078390440482632,-0.00756260117055193,-0.00426032236016165
71,3,0.01,1e-07,-0.0821095433581955,-0.0799358024531927,-0.0110664581233387,0.012897190752785
72,3,0.01,1e-07,-0.0953992849468545,-0.0716043622103622,0.000149662459096638,0.00270769941293387
73,3,0.01,1e-07,-0.0785305110048881,-0.0902008202623028,-0.00402638405264534,-0.00271994308218651
74,3,0.01,1e-07,-0.0872328347657269,-0.0730681810520246,0.00161196958328857,-0.00272805940177322
75,3,0.01,1e-07,-0.0833118077972693,-0.0788233553874056,0.00344914017038344,-0.000604139099811978
76,3,0.01,1e-07,-0.096789434819742,-0.0697610673892267,-0.016049399986509,0.00896024289675701
77,3,0.01,1e-07,-0.0825564679398438,-0.0862530599584422,0.00491282705207963,-0.0150560408167178
78,3,0.01,1e-07,-0.0908890182169289,-0.0760672297037445,-0.00435931155207411,-0.00818513261389187
79,3,0.01,1e-07,-0.0893802801161175,-0.0809401303772064,-0.000691503860998933,-0.00613423944619871
80,3,0.01,1e-07,-0.0908122630508112,-0.0657518525341783,-0.00663749252354393,0.0021937723578586
81,3,0.01,1e-07,-0.0757061668253416,-0.095086032460814,-0.00740345106931425,-0.018285148271407
82,3,0.01,1e-07,-0.0771369277546913,-0.0825177544796832,0.00472891267849456,0.00245735798129606
83,3,0.01,1e-07,-0.0776337172077933,-0.0836051462471101,0.00415111411086293,0.00730558119042671
84,3,0.01,1e-07,-0.0801735890192371,-0.0799660476143085,-0.00478497319588298,0.012234694389016
85,3,0.01,1e-07,-0.0955449377195638,-0.0710793185425522,-0.00780845457415094,-0.00338314497686309
86,3,0.01,1e-07,-0.0800741320123621,-0.0854014840090616,-0.0156567062316738,0.00364503617373136
87,3,0.01,1e-07,-0.0785893678226183,-0.0836356018999863,0.00115601604871991,0.000493714701658273
