"Data.No","SS.No","Type","lambda","gamma","S","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
1,1,3,1e-07,0.0562341325190349,0.45,-0.0362465050626993,-0.0479039380010094,0.00892704655046065,0.00864664726460031
1,1,3,1e-07,0.0562341325190349,0.46,-0.0390762609520748,-0.051119183239556,0.00073157533596965,0.0129054179695056
1,1,3,1e-07,0.0562341325190349,0.47,-0.0423280116576773,-0.0545921533763565,0.00263977896080911,0.0104527325163028
1,1,3,1e-07,0.0562341325190349,0.48,-0.045961177287931,-0.0584563199466357,0.00360931559941637,0.0130093374631877
1,1,3,1e-07,0.0562341325190349,0.49,-0.0499633003435142,-0.0625080766033267,-0.0104034414825781,0.0024588913564818
1,1,3,1e-07,0.0562341325190349,0.5,-0.0544024460901318,-0.0668223023425657,-0.00918797153383214,0.0020588404372981
1,1,3,1e-07,0.0562341325190349,0.51,-0.0593634166396357,-0.0714204250781112,-0.00971666681712788,-0.00235737925406486
1,1,3,1e-07,0.0562341325190349,0.52,-0.0647477944842719,-0.0762757345948721,-0.0189174368029713,-0.0154725021078381
1,1,3,1e-07,0.0562341325190349,0.53,-0.0705270538055371,-0.081449234187267,-0.0264929184872602,-0.011194483069679
1,1,3,1e-07,0.0562341325190349,0.54,-0.0767855273805463,-0.0870297661913976,-0.0342701999537572,-0.0218042408552957
1,1,3,1e-07,0.0562341325190349,0.55,-0.0834462945126039,-0.0930208239856182,-0.0418921000821843,-0.0293991315097206
1,1,3,1e-04,0.0562341325190349,0.45,-0.0362622547712772,-0.047905292933945,0.00924485552050453,0.0136731891111225
1,1,3,1e-04,0.0562341325190349,0.46,-0.0390776802225212,-0.0511190169326037,0.000507543750994101,0.00772679885849307
1,1,3,1e-04,0.0562341325190349,0.47,-0.0423306968544016,-0.0545898518704215,0.00233587750701516,0.00448678996212055
1,1,3,1e-04,0.0562341325190349,0.48,-0.0459541233852203,-0.058440505915612,0.00171564547728656,0.00643233825838391
1,1,3,1e-04,0.0562341325190349,0.49,-0.0499626541243487,-0.0625149012540852,-0.00387802489996819,0.00791606994616162
1,1,3,1e-04,0.0562341325190349,0.5,-0.0544021828359934,-0.0668292732587071,-0.00895385424982243,-0.00230266922751146
1,1,3,1e-04,0.0562341325190349,0.51,-0.0593455776267288,-0.0714300067251862,-0.0134359192861061,0.0197903491085033
1,1,3,1e-04,0.0562341325190349,0.52,-0.0647414607910978,-0.0762760125095232,-0.0183691121080857,0.00189374308632881
1,1,3,1e-04,0.0562341325190349,0.53,-0.0705220377794539,-0.0814607157213437,-0.0251657406396805,-0.0105201304566891
1,1,3,1e-04,0.0562341325190349,0.54,-0.076770698824102,-0.0870253886534553,-0.0342139981718692,-0.0228344030137122
1,1,3,1e-04,0.0562341325190349,0.55,-0.0834495799674855,-0.093039795010737,-0.0359110140430468,-0.033161842919425
1,1,3,0.1,0.0562341325190349,0.45,-0.0156511700356804,-0.0292428942591104,0.00622579216451839,0.0115970875642311
1,1,3,0.1,0.0562341325190349,0.46,-0.0165252861702604,-0.030043758583467,0.00530983779321193,0.0118165074034251
1,1,3,0.1,0.0562341325190349,0.47,-0.0240278212278433,-0.0354216252491401,9.79303866816633e-05,0.0220129962247241
1,1,3,0.1,0.0562341325190349,0.48,-0.0275504401418044,-0.0351377944280058,-0.00738280310999464,-0.000797453740708329
1,1,3,0.1,0.0562341325190349,0.49,-0.0300849973357199,-0.044157491157172,-0.0141472238139945,-0.00656253605654803
1,1,3,0.1,0.0562341325190349,0.5,-0.0385511062489002,-0.0515631131186429,-0.00627467249025448,-0.00612421892878536
1,1,3,0.1,0.0562341325190349,0.51,-0.0484068074257064,-0.0575859032335541,-0.0135331372338749,-0.00170834331426122
1,1,3,0.1,0.0562341325190349,0.52,-0.0536085746744451,-0.0575196817413855,-0.0247773505888255,-0.018928364682658
1,1,3,0.1,0.0562341325190349,0.53,-0.060138067523745,-0.0673334758856149,-0.0253049817113077,-0.0225818872983951
1,1,3,0.1,0.0562341325190349,0.54,-0.0657541989300768,-0.0733076728905377,-0.0358567613055961,-0.0294686039092084
1,1,3,0.1,0.0562341325190349,0.55,-0.0742401606380936,-0.0833684041991249,-0.0441524167792143,-0.0459231985288661
1,1,3,1e-07,0.1,0.45,-0.0362693644911551,-0.047905211631405,0.00517814168882314,0.0125331635378801
1,1,3,1e-07,0.1,0.46,-0.03908568052463,-0.0511135541163635,-0.00200958685167006,0.00918249166842778
1,1,3,1e-07,0.1,0.47,-0.042315682562537,-0.0545887690389339,0.00127524656443213,0.0013935134019109
1,1,3,1e-07,0.1,0.48,-0.0459692034584191,-0.0584542524834426,-0.00169850068617705,-4.87378476900242e-06
1,1,3,1e-07,0.1,0.49,-0.0499577228466568,-0.0625047180112596,-0.00959969619546179,-0.00237670328883869
1,1,3,1e-07,0.1,0.5,-0.0544118253421626,-0.0668314720178971,-0.0101131433692791,-0.00864076309507755
1,1,3,1e-07,0.1,0.51,-0.0593526497859388,-0.0714315839270228,-0.0167779830802238,-0.0107988953831739
1,1,3,1e-07,0.1,0.52,-0.0647302823047254,-0.0762662176781288,-0.0220902228793824,-0.0115046888191376
1,1,3,1e-07,0.1,0.53,-0.0705051407769359,-0.0814478192295216,-0.0283740669498363,-0.0226418460878652
1,1,3,1e-07,0.1,0.54,-0.0767723531994172,-0.0870382208667297,-0.0405803725823099,-0.0254982074900348
1,1,3,1e-07,0.1,0.55,-0.0834497797503249,-0.0930250941095743,-0.03926245265393,-0.0319941109012134
1,1,3,1e-04,0.1,0.45,-0.0362380525578341,-0.0479039752618461,0.00743184115508795,0.0123394167424072
1,1,3,1e-04,0.1,0.46,-0.0390712240284278,-0.0511126255040142,0.00380924325311697,0.0105366159150048
1,1,3,1e-04,0.1,0.47,-0.042313958162193,-0.0545947039374509,0.00166918835672821,0.00142754312324198
1,1,3,1e-04,0.1,0.48,-0.0459547438348231,-0.0584666198377469,-0.00353211720266159,0.000727763994342594
1,1,3,1e-04,0.1,0.49,-0.0499652225955159,-0.0625132474920532,-0.00795041399130106,0.00123636517007859
1,1,3,1e-04,0.1,0.5,-0.054416394570915,-0.0668318656292927,-0.0155145884287403,-0.00311209986155375
1,1,3,1e-04,0.1,0.51,-0.0593606774930876,-0.0714303833649522,-0.012794449644448,-0.00824216020980715
1,1,3,1e-04,0.1,0.52,-0.0647402736053874,-0.0762771301165583,-0.0291549094387262,-0.0138097047301969
1,1,3,1e-04,0.1,0.53,-0.0705415082892324,-0.0814615073853983,-0.0277809527262259,-0.0203084890950326
1,1,3,1e-04,0.1,0.54,-0.0767640144147664,-0.0870364560249642,-0.0364444910823197,-0.0276049004029817
1,1,3,1e-04,0.1,0.55,-0.0834577429245911,-0.0930318374138752,-0.0456325326882388,-0.030525765643108
1,1,3,0.1,0.1,0.45,-0.0125948445055991,-0.0257092348856347,-0.00394715061693352,0.00805433559616114
1,1,3,0.1,0.1,0.46,-0.0153012917194745,-0.0355475844127399,-0.00482624931521858,0.00575907335056776
1,1,3,0.1,0.1,0.47,-0.0205673085661333,-0.036949002099515,-0.00384647160811542,0.00417474964190123
1,1,3,0.1,0.1,0.48,-0.0229289034655738,-0.0399420545112429,-0.00676423897002774,-0.00445793189300725
1,1,3,0.1,0.1,0.49,-0.0271202314352309,-0.0441453266132944,-0.00981038481263519,-0.0151975313928181
1,1,3,0.1,0.1,0.5,-0.03321884122007,-0.0477161872894003,-0.0183822192551155,-0.0122555300736343
1,1,3,0.1,0.1,0.51,-0.0400423258846861,-0.0526043705258244,-0.0209047803048974,-0.0140885821905508
1,1,3,0.1,0.1,0.52,-0.046383189013888,-0.0588154374495867,-0.0225889183570102,-0.0240938483423087
1,1,3,0.1,0.1,0.53,-0.0545242082910062,-0.0647203670419567,-0.0407300287160654,-0.0275689655296228
1,1,3,0.1,0.1,0.54,-0.0615486999057648,-0.0704391115640006,-0.0385274163966583,-0.0142738838818689
1,1,3,0.1,0.1,0.55,-0.0693276606662618,-0.0771000066042182,-0.0497820708514248,-0.0395757860333398
1,1,3,1e-07,0.177827941003892,0.45,-0.0362582233763339,-0.0479074009427797,0.00257463568582289,0.00427566496856132
1,1,3,1e-07,0.177827941003892,0.46,-0.0390849658215517,-0.0511221381314983,0.00154411502335492,0.00420170638862225
1,1,3,1e-07,0.177827941003892,0.47,-0.0423096190272412,-0.0545936377291322,-0.00207453877918524,-0.00103696863735778
1,1,3,1e-07,0.177827941003892,0.48,-0.0459769635914662,-0.0584477876185473,-0.0070474283803824,-0.00364234193808807
1,1,3,1e-07,0.177827941003892,0.49,-0.0499598665268913,-0.0625139858581126,-0.0107699659731689,-0.00655544367896746
1,1,3,1e-07,0.177827941003892,0.5,-0.0544092920812371,-0.0668272849343512,-0.0130876136583193,-0.0144824187138444
1,1,3,1e-07,0.177827941003892,0.51,-0.0593462904756278,-0.0714309191363268,-0.0192363164739962,-0.0145482701713987
1,1,3,1e-07,0.177827941003892,0.52,-0.0647488741229432,-0.0762764954890526,-0.02089216023695,-0.0197809652238621
1,1,3,1e-07,0.177827941003892,0.53,-0.0705190898981183,-0.0814579825495153,-0.0308656512922879,-0.0256059621203441
1,1,3,1e-07,0.177827941003892,0.54,-0.0767628053398685,-0.0870424354837545,-0.0376587465999129,-0.0314351862448808
1,1,3,1e-07,0.177827941003892,0.55,-0.0834472142652583,-0.0930450275124425,-0.0452885388625283,-0.0403567052582334
1,1,3,1e-04,0.177827941003892,0.45,-0.0362555394765539,-0.047906488952707,0.0030376344689478,0.00221155066428493
1,1,3,1e-04,0.177827941003892,0.46,-0.0390797070125107,-0.0511039220775023,0.0025610414588319,0.00287550348655768
1,1,3,1e-04,0.177827941003892,0.47,-0.0423215771394251,-0.0545979797968882,-0.00146298043632454,-0.000348017655019032
1,1,3,1e-04,0.177827941003892,0.48,-0.04595998525521,-0.0584505265649071,-0.00140246231668214,-0.00482921647915774
1,1,3,1e-04,0.177827941003892,0.49,-0.0499488688626134,-0.0625037228920463,-0.00758401340228628,-0.00691850242376136
1,1,3,1e-04,0.177827941003892,0.5,-0.0544155675880198,-0.0668466835529861,-0.0136558274544239,-0.0120280846268436
1,1,3,1e-04,0.177827941003892,0.51,-0.0593531884073117,-0.0714239371968423,-0.0191893865846952,-0.015788169579109
1,1,3,1e-04,0.177827941003892,0.52,-0.0647444444639054,-0.0762706152070281,-0.0253411998472336,-0.0173964991740942
1,1,3,1e-04,0.177827941003892,0.53,-0.0705097749435815,-0.0814495345537523,-0.0285869681891139,-0.0272538616759879
1,1,3,1e-04,0.177827941003892,0.54,-0.0767683675667383,-0.0870464119319006,-0.0376179260788123,-0.0270012703573996
1,1,3,1e-04,0.177827941003892,0.55,-0.0834393121944487,-0.0930356906967681,-0.0449800175269636,-0.0374661977273545
1,1,3,0.1,0.177827941003892,0.45,-0.011511929766747,-0.0267461564485475,0.00305040717329785,-0.00182686196111139
1,1,3,0.1,0.177827941003892,0.46,-0.0148642155990101,-0.0317297807690604,0.00139118058347487,-0.00275072289395581
1,1,3,0.1,0.177827941003892,0.47,-0.0168513449912771,-0.0336319980748136,-0.000587327512981245,-0.00456780768267172
1,1,3,0.1,0.177827941003892,0.48,-0.0220352924874265,-0.0368374860707782,-0.00431190523549458,-0.00828547438146723
1,1,3,0.1,0.177827941003892,0.49,-0.0274303492475965,-0.0388421485143487,-0.00890094752981848,-0.0141044997811069
1,1,3,0.1,0.177827941003892,0.5,-0.0308659507179568,-0.0449773387887605,-0.0165230722267521,-0.0163579006659365
1,1,3,0.1,0.177827941003892,0.51,-0.0369510185066711,-0.0500589053877089,-0.0207610670336734,-0.0204265629214511
1,1,3,0.1,0.177827941003892,0.52,-0.043775625953944,-0.0550315742518292,-0.0286436595039928,-0.021100027546716
1,1,3,0.1,0.177827941003892,0.53,-0.0512605969203967,-0.0580467502419748,-0.0345567852984512,-0.0314357365554059
1,1,3,0.1,0.177827941003892,0.54,-0.0592223031009558,-0.0678047063660224,-0.0382327016071133,-0.038621375115614
1,1,3,0.1,0.177827941003892,0.55,-0.0645558983110866,-0.072890710534481,-0.0483091188467778,-0.0427465864688553
1,1,3,1e-07,0.316227766016838,0.45,-0.0362539737084057,-0.0479060473211027,0.00230886987016683,-0.000920987974480584
1,1,3,1e-07,0.316227766016838,0.46,-0.039072744819378,-0.0511229999331731,-3.21752825062748e-06,-0.00494737325022852
1,1,3,1e-07,0.316227766016838,0.47,-0.042322992872319,-0.0545986616684515,-0.00170425062940003,-0.00549967263141339
1,1,3,1e-07,0.316227766016838,0.48,-0.0459439117212434,-0.0584509031921026,-0.00519078172948717,-0.0109550907438967
1,1,3,1e-07,0.316227766016838,0.49,-0.0499618555126966,-0.0625120512189243,-0.0084546565380439,-0.0133260984668187
1,1,3,1e-07,0.316227766016838,0.5,-0.0544071955711492,-0.0668372136511864,-0.0129860006311224,-0.0164934932212399
1,1,3,1e-07,0.316227766016838,0.51,-0.0593360107849978,-0.0714094197198542,-0.0182275415188413,-0.0212571345615947
1,1,3,1e-07,0.316227766016838,0.52,-0.0647475302389515,-0.0762763813517803,-0.0243979604436297,-0.0263796818115644
1,1,3,1e-07,0.316227766016838,0.53,-0.0705253091009479,-0.0814532733454724,-0.0301092817855256,-0.0317636035729897
1,1,3,1e-07,0.316227766016838,0.54,-0.0767684059075525,-0.08703024548531,-0.0382942207766515,-0.0351400356573608
1,1,3,1e-07,0.316227766016838,0.55,-0.0834583016866536,-0.0930238734155042,-0.0452394014417694,-0.0417335911973058
1,1,3,1e-04,0.316227766016838,0.45,-0.0362446683102708,-0.0478965098223578,0.00431741228881002,-0.00200651640285067
1,1,3,1e-04,0.316227766016838,0.46,-0.0390756048429605,-0.0511127406002338,0.00323119837425417,-0.0028648893449798
1,1,3,1e-04,0.316227766016838,0.47,-0.0423366927877271,-0.0546006704904913,-0.00231605119025811,-0.00558895709956674
1,1,3,1e-04,0.316227766016838,0.48,-0.0459541883978158,-0.0584521430774518,-0.00515232132344109,-0.0101917330688105
1,1,3,1e-04,0.316227766016838,0.49,-0.0499747122668383,-0.0625167687668478,-0.0091694024599163,-0.013909181799609
1,1,3,1e-04,0.316227766016838,0.5,-0.054416126293016,-0.0668257373572119,-0.0124689485492548,-0.0179916001049268
1,1,3,1e-04,0.316227766016838,0.51,-0.0593469090900442,-0.07142306241169,-0.0189116161862116,-0.0223492842020128
1,1,3,1e-04,0.316227766016838,0.52,-0.0647439036105201,-0.0762737629817413,-0.024849154470228,-0.0256892849704285
1,1,3,1e-04,0.316227766016838,0.53,-0.0705255762232015,-0.0814529750116408,-0.0310852100741514,-0.0323817613009019
1,1,3,1e-04,0.316227766016838,0.54,-0.0767637662878018,-0.0870371446103067,-0.0385607667955621,-0.0380467853967411
1,1,3,1e-04,0.316227766016838,0.55,-0.0834496195795409,-0.0930393645391065,-0.0450481695481321,-0.0415905924700475
1,1,3,0.1,0.316227766016838,0.45,-0.0117179032584187,-0.0296716791787217,0.00627918225868089,-0.00280927392274209
1,1,3,0.1,0.316227766016838,0.46,-0.0155937130285827,-0.0330378932939198,0.00386303042281219,-0.00534929709230581
1,1,3,0.1,0.316227766016838,0.47,-0.017634801728202,-0.0362960253603845,0.00171420575548929,-0.0080552678176632
1,1,3,0.1,0.316227766016838,0.48,-0.0208111290552294,-0.0394956073790006,-0.00245553332428215,-0.0119726182607037
1,1,3,0.1,0.316227766016838,0.49,-0.0271698727123238,-0.0440996504050506,-0.00672800830955621,-0.0144221554939953
1,1,3,0.1,0.316227766016838,0.5,-0.0317222091402084,-0.047463098947416,-0.0118962269644767,-0.0202730755128232
1,1,3,0.1,0.316227766016838,0.51,-0.0369147573605644,-0.0525178537316772,-0.0189728094318642,-0.0235589747979998
1,1,3,0.1,0.316227766016838,0.52,-0.0426525663996451,-0.0557162191084853,-0.0237695121951745,-0.0279531016074677
